,Viscosity,Angular velocity, Speed,Torque,Shear Stress,Shear Rate,Temperature
316,0.03714159345320736,14.137166941154069,135.0,0.41,5.890402074649431,79.29657194259077,22.0
317,0.037051004200882455,14.137166941154069,135.0,0.409,5.876035240321017,79.29657194259077,22.0
318,0.03714159345320736,14.137166941154069,135.0,0.41,5.890402074649431,79.29657194259077,22.0
319,0.03714159345320736,14.137166941154069,135.0,0.41,5.890402074649431,79.29657194259077,22.0
320,0.03723218270553225,14.137166941154069,135.0,0.41100000000000003,5.904768908977845,79.29657194259077,22.1
321,0.03714159345320736,14.137166941154069,135.0,0.41,5.890402074649431,79.29657194259077,22.1
322,0.03723218270553225,14.137166941154069,135.0,0.41100000000000003,5.904768908977845,79.29657194259077,22.1
339,0.03703806287912176,14.660765716752367,140.0,0.424,6.0915377552472165,82.23348201453858,22.1
340,0.03703806287912176,14.660765716752367,140.0,0.424,6.0915377552472165,82.23348201453858,22.1
341,0.03703806287912176,14.660765716752367,140.0,0.424,6.0915377552472165,82.23348201453858,22.1
342,0.03703806287912176,14.660765716752367,140.0,0.424,6.0915377552472165,82.23348201453858,22.1
343,0.03703806287912176,14.660765716752367,140.0,0.424,6.0915377552472165,82.23348201453858,22.1
360,0.03685170784576768,15.707963267948966,150.0,0.452,6.493809116442788,88.10730215843421,22.1
361,0.03685170784576768,15.707963267948966,150.0,0.452,6.493809116442788,88.10730215843421,22.1
362,0.03685170784576768,15.707963267948966,150.0,0.452,6.493809116442788,88.10730215843421,22.1
363,0.03685170784576768,15.707963267948966,150.0,0.452,6.493809116442788,88.10730215843421,22.1
380,0.03668864719158287,16.755160819145562,160.0,0.48,6.896080477638358,93.98112230232981,22.0
381,0.03668864719158287,16.755160819145562,160.0,0.48,6.896080477638358,93.98112230232981,22.0
382,0.03668864719158287,16.755160819145562,160.0,0.48,6.896080477638358,93.98112230232981,22.0
383,0.036612212509933746,16.755160819145562,160.0,0.479,6.881713643309945,93.98112230232981,22.0
400,0.03634893749536452,18.84955592153876,180.0,0.535,7.686256365701087,105.72876259012104,22.1
